id,acronym,R,G,B,A,new_id
0,empty,0.0,0.0,0.0,0.0,0
1,P,0.19215686274509805,0.6862745098039216,0.9607843137254902,1.0,1
2,St,0.9450980392156862,0.796078431372549,0.22745098039215686,1.0,2
3,Di,0.9411764705882353,0.3568627450980392,0.07058823529411765,1.0,3
4,Me,0.2784313725490196,0.4823529411764706,0.9490196078431372,1.0,4
5,Pn,0.8745098039215686,0.8745098039215686,0.21568627450980393,1.0,5
6,Cb,0.6745098039215687,0.984313725490196,0.2196078431372549,1.0,6
10,PrVd,0.8862745098039215,0.2627450980392157,0.0392156862745098,1.0,7
17,PrVv,0.996078431372549,0.6,0.17254901960784313,1.0,8
18,SpVl,0.23921568627450981,0.20784313725490197,0.5450980392156862,1.0,9
19,SpVm,0.18823529411764706,0.07058823529411765,0.23137254901960785,1.0,10
20,Ento,0.13333333333333333,0.9215686274509803,0.6666666666666666,1.0,11
30,HP,0.47843137254901963,0.01568627450980392,0.011764705882352941,1.0,12
40,N,0.2196078431372549,0.15294117647058825,0.42745098039215684,1.0,13
50,H,0.7843137254901961,0.9372549019607843,0.20392156862745098,1.0,14
60,M,0.5607843137254902,1.0,0.28627450980392155,1.0,15
70,A,0.12549019607843137,0.7803921568627451,0.8745098039215686,1.0,16
80,OB,0.24705882352941178,0.9647058823529412,0.5411764705882353,1.0,17
90,CDL,0.2549019607843137,0.5882352941176471,1.0,1.0,18
110,N.Rot,0.27450980392156865,0.3803921568627451,0.8392156862745098,1.0,19
140,Gld,0.2549019607843137,0.27450980392156865,0.6745098039215687,1.0,20
220,OT,0.1843137254901961,0.9450980392156862,0.6078431372549019,1.0,21
305,CN-HP,0.9882352941176471,0.7019607843137254,0.21176470588235294,1.0,22
402,NFT,0.9803921568627451,0.4823529411764706,0.12156862745098039,1.0,23
505,CN-H,0.8156862745098039,0.1843137254901961,0.0196078431372549,1.0,24
